OMRÅDE;CIVILSTAND;TID;INDHOLD
København;Ugift;2008K1;309661
København;Ugift;2008K2;311978
København;Ugift;2008K3;311868
København;Ugift;2022K1;424752
København;Ugift;2022K2;427556
København;Ugift;2022K3;427326
København;Gift/separeret;2008K1;128556
København;Gift/separeret;2008K2;128289
København;Gift/separeret;2008K3;128728
København;Gift/separeret;2022K1;149940
København;Gift/separeret;2022K2;149473
København;Gift/separeret;2022K3;150608
København;Enke/enkemand;2008K1;21555
København;Enke/enkemand;2008K2;21298
København;Enke/enkemand;2008K3;21066
København;Enke/enkemand;2022K1;14324
København;Enke/enkemand;2022K2;14287
København;Enke/enkemand;2022K3;14227
København;Fraskilt;2008K1;50089
København;Fraskilt;2008K2;50160
København;Fraskilt;2008K3;50024
København;Fraskilt;2022K1;55415
København;Fraskilt;2022K2;55496
København;Fraskilt;2022K3;55348
