,OMRÅDE,CIVILSTAND,TID,INDHOLD
0,København,I alt,2020,632340
1,København,I alt,2020,633449
2,København,I alt,2020,633035
3,København,I alt,2020,637936
4,København,Ugift,2020,412512
5,København,Ugift,2020,414072
6,København,Ugift,2020,414218
7,København,Ugift,2020,417782
8,Aarhus,I alt,2020,349983
9,Aarhus,I alt,2020,349956
10,Aarhus,I alt,2020,349433
11,Aarhus,I alt,2020,353445
12,Aarhus,Ugift,2020,208509
13,Aarhus,Ugift,2020,208755
14,Aarhus,Ugift,2020,208470
15,Aarhus,Ugift,2020,211863
16,Odense,I alt,2020,204895
17,Odense,I alt,2020,205106
18,Odense,I alt,2020,204718
19,Odense,I alt,2020,205881
20,Odense,Ugift,2020,112490
21,Odense,Ugift,2020,112889
22,Odense,Ugift,2020,112672
23,Odense,Ugift,2020,113639
24,Aalborg,I alt,2020,217075
25,Aalborg,I alt,2020,217063
26,Aalborg,I alt,2020,217316
27,Aalborg,I alt,2020,219310
28,Aalborg,Ugift,2020,118194
29,Aalborg,Ugift,2020,118355
30,Aalborg,Ugift,2020,118694
31,Aalborg,Ugift,2020,120226
32,Esbjerg,I alt,2020,115483
33,Esbjerg,I alt,2020,115657
34,Esbjerg,I alt,2020,115650
35,Esbjerg,I alt,2020,115498
36,Esbjerg,Ugift,2020,55014
37,Esbjerg,Ugift,2020,55260
38,Esbjerg,Ugift,2020,55330
39,Esbjerg,Ugift,2020,55161
