,TID,CIVILSTAND,ALDER,INDHOLD
0,2020,Ugift,I alt,2859116
1,2020,Ugift,0 år,61381
2,2020,Ugift,1 år,61650
3,2020,Ugift,2 år,62532
4,2020,Ugift,3 år,61928
5,2020,Ugift,4 år,62597
6,2020,Ugift,5 år,59132
7,2020,Ugift,6 år,58528
8,2020,Ugift,7 år,59354
9,2020,Ugift,8 år,60586
10,2020,Ugift,9 år,63442
11,2020,Ugift,10 år,66642
12,2020,Ugift,11 år,66984
13,2020,Ugift,12 år,69063
14,2020,Ugift,13 år,67463
15,2020,Ugift,14 år,68501
16,2020,Ugift,15 år,68110
17,2020,Ugift,16 år,68059
18,2020,Ugift,17 år,67736
19,2020,Ugift,18 år,67886
20,2020,Ugift,19 år,70314
21,2020,Ugift,20 år,71873
22,2020,Ugift,21 år,72919
23,2020,Ugift,22 år,73281
24,2020,Ugift,23 år,76513
25,2020,Ugift,24 år,74894
26,2020,Ugift,25 år,76716
27,2020,Ugift,26 år,72077
28,2020,Ugift,27 år,68725
29,2020,Ugift,28 år,64341
30,2020,Ugift,29 år,58801
31,2020,Ugift,30 år,53898
32,2020,Ugift,31 år,48657
33,2020,Ugift,32 år,42918
34,2020,Ugift,33 år,38418
35,2020,Ugift,34 år,35288
36,2020,Ugift,35 år,32035
37,2020,Ugift,36 år,28768
38,2020,Ugift,37 år,26542
39,2020,Ugift,38 år,25126
40,2020,Ugift,39 år,23939
41,2020,Ugift,40 år,23638
42,2020,Ugift,41 år,22435
43,2020,Ugift,42 år,21848
44,2020,Ugift,43 år,20471
45,2020,Ugift,44 år,20984
46,2020,Ugift,45 år,21246
47,2020,Ugift,46 år,19926
48,2020,Ugift,47 år,19284
49,2020,Ugift,48 år,19343
50,2020,Ugift,49 år,18116
51,2020,Ugift,50 år,16711
52,2020,Ugift,51 år,16501
53,2020,Ugift,52 år,16584
54,2020,Ugift,53 år,17551
55,2020,Ugift,54 år,17493
56,2020,Ugift,55 år,16433
57,2020,Ugift,56 år,15761
58,2020,Ugift,57 år,14757
59,2020,Ugift,58 år,13577
60,2020,Ugift,59 år,12616
61,2020,Ugift,60 år,11951
62,2020,Ugift,61 år,11161
63,2020,Ugift,62 år,10690
64,2020,Ugift,63 år,10048
65,2020,Ugift,64 år,9495
66,2020,Ugift,65 år,8689
67,2020,Ugift,66 år,8074
68,2020,Ugift,67 år,7504
69,2020,Ugift,68 år,6670
70,2020,Ugift,69 år,5928
71,2020,Ugift,70 år,5457
72,2020,Ugift,71 år,4815
73,2020,Ugift,72 år,4407
74,2020,Ugift,73 år,4290
75,2020,Ugift,74 år,3913
76,2020,Ugift,75 år,3277
77,2020,Ugift,76 år,2859
78,2020,Ugift,77 år,2361
79,2020,Ugift,78 år,1973
80,2020,Ugift,79 år,1652
81,2020,Ugift,80 år,1509
82,2020,Ugift,81 år,1382
83,2020,Ugift,82 år,1216
84,2020,Ugift,83 år,1062
85,2020,Ugift,84 år,942
86,2020,Ugift,85 år,813
87,2020,Ugift,86 år,671
88,2020,Ugift,87 år,637
89,2020,Ugift,88 år,511
90,2020,Ugift,89 år,460
91,2020,Ugift,90 år,398
92,2020,Ugift,91 år,338
93,2020,Ugift,92 år,256
94,2020,Ugift,93 år,222
95,2020,Ugift,94 år,151
96,2020,Ugift,95 år,143
97,2020,Ugift,96 år,96
98,2020,Ugift,97 år,64
99,2020,Ugift,98 år,46
100,2020,Ugift,99 år,42
101,2020,Ugift,100 år,26
102,2020,Ugift,101 år,7
103,2020,Ugift,102 år,9
104,2020,Ugift,103 år,3
105,2020,Ugift,104 år,2
106,2020,Ugift,105 år,2
107,2020,Ugift,106 år,1
108,2020,Ugift,107 år,0
109,2020,Ugift,108 år,1
110,2020,Ugift,109 år,0
111,2020,Ugift,110 år,0
112,2020,Ugift,111 år,0
113,2020,Ugift,112 år,0
114,2020,Ugift,113 år,0
115,2020,Ugift,114 år,0
116,2020,Ugift,115 år,0
117,2020,Ugift,116 år,0
118,2020,Ugift,117 år,0
119,2020,Ugift,118 år,0
120,2020,Ugift,119 år,0
121,2020,Ugift,120 år,0
122,2020,Ugift,121 år,0
123,2020,Ugift,122 år,0
124,2020,Ugift,123 år,0
125,2020,Ugift,124 år,0
126,2020,Ugift,125 år,0
127,2020,Gift/separeret,I alt,2138124
128,2020,Gift/separeret,0 år,0
129,2020,Gift/separeret,1 år,0
130,2020,Gift/separeret,2 år,0
131,2020,Gift/separeret,3 år,0
132,2020,Gift/separeret,4 år,0
133,2020,Gift/separeret,5 år,0
134,2020,Gift/separeret,6 år,0
135,2020,Gift/separeret,7 år,0
136,2020,Gift/separeret,8 år,0
137,2020,Gift/separeret,9 år,0
138,2020,Gift/separeret,10 år,0
139,2020,Gift/separeret,11 år,0
140,2020,Gift/separeret,12 år,0
141,2020,Gift/separeret,13 år,0
142,2020,Gift/separeret,14 år,0
143,2020,Gift/separeret,15 år,0
144,2020,Gift/separeret,16 år,0
145,2020,Gift/separeret,17 år,0
146,2020,Gift/separeret,18 år,13
147,2020,Gift/separeret,19 år,74
148,2020,Gift/separeret,20 år,231
149,2020,Gift/separeret,21 år,575
150,2020,Gift/separeret,22 år,1104
151,2020,Gift/separeret,23 år,1971
152,2020,Gift/separeret,24 år,3323
153,2020,Gift/separeret,25 år,5390
154,2020,Gift/separeret,26 år,7782
155,2020,Gift/separeret,27 år,11080
156,2020,Gift/separeret,28 år,14725
157,2020,Gift/separeret,29 år,18106
158,2020,Gift/separeret,30 år,22054
159,2020,Gift/separeret,31 år,24633
160,2020,Gift/separeret,32 år,27145
161,2020,Gift/separeret,33 år,28876
162,2020,Gift/separeret,34 år,30431
163,2020,Gift/separeret,35 år,31269
164,2020,Gift/separeret,36 år,31867
165,2020,Gift/separeret,37 år,32675
166,2020,Gift/separeret,38 år,33934
167,2020,Gift/separeret,39 år,35034
168,2020,Gift/separeret,40 år,37745
169,2020,Gift/separeret,41 år,38791
170,2020,Gift/separeret,42 år,40136
171,2020,Gift/separeret,43 år,39917
172,2020,Gift/separeret,44 år,42480
173,2020,Gift/separeret,45 år,44804
174,2020,Gift/separeret,46 år,44188
175,2020,Gift/separeret,47 år,44168
176,2020,Gift/separeret,48 år,46608
177,2020,Gift/separeret,49 år,45038
178,2020,Gift/separeret,50 år,43636
179,2020,Gift/separeret,51 år,43729
180,2020,Gift/separeret,52 år,45571
181,2020,Gift/separeret,53 år,49121
182,2020,Gift/separeret,54 år,51013
183,2020,Gift/separeret,55 år,49791
184,2020,Gift/separeret,56 år,48603
185,2020,Gift/separeret,57 år,47007
186,2020,Gift/separeret,58 år,45561
187,2020,Gift/separeret,59 år,44281
188,2020,Gift/separeret,60 år,44092
189,2020,Gift/separeret,61 år,43280
190,2020,Gift/separeret,62 år,42965
191,2020,Gift/separeret,63 år,42660
192,2020,Gift/separeret,64 år,42952
193,2020,Gift/separeret,65 år,41960
194,2020,Gift/separeret,66 år,40955
195,2020,Gift/separeret,67 år,42051
196,2020,Gift/separeret,68 år,39872
197,2020,Gift/separeret,69 år,39285
198,2020,Gift/separeret,70 år,40086
199,2020,Gift/separeret,71 år,39555
200,2020,Gift/separeret,72 år,40784
201,2020,Gift/separeret,73 år,42657
202,2020,Gift/separeret,74 år,42096
203,2020,Gift/separeret,75 år,38275
204,2020,Gift/separeret,76 år,34132
205,2020,Gift/separeret,77 år,29610
206,2020,Gift/separeret,78 år,25945
207,2020,Gift/separeret,79 år,21604
208,2020,Gift/separeret,80 år,19583
209,2020,Gift/separeret,81 år,17003
210,2020,Gift/separeret,82 år,14868
211,2020,Gift/separeret,83 år,12496
212,2020,Gift/separeret,84 år,10253
213,2020,Gift/separeret,85 år,8393
214,2020,Gift/separeret,86 år,6525
215,2020,Gift/separeret,87 år,5177
216,2020,Gift/separeret,88 år,4078
217,2020,Gift/separeret,89 år,3095
218,2020,Gift/separeret,90 år,2243
219,2020,Gift/separeret,91 år,1681
220,2020,Gift/separeret,92 år,1223
221,2020,Gift/separeret,93 år,823
222,2020,Gift/separeret,94 år,594
223,2020,Gift/separeret,95 år,347
224,2020,Gift/separeret,96 år,195
225,2020,Gift/separeret,97 år,110
226,2020,Gift/separeret,98 år,60
227,2020,Gift/separeret,99 år,40
228,2020,Gift/separeret,100 år,18
229,2020,Gift/separeret,101 år,14
230,2020,Gift/separeret,102 år,7
231,2020,Gift/separeret,103 år,2
232,2020,Gift/separeret,104 år,0
233,2020,Gift/separeret,105 år,0
234,2020,Gift/separeret,106 år,0
235,2020,Gift/separeret,107 år,0
236,2020,Gift/separeret,108 år,0
237,2020,Gift/separeret,109 år,0
238,2020,Gift/separeret,110 år,0
239,2020,Gift/separeret,111 år,0
240,2020,Gift/separeret,112 år,0
241,2020,Gift/separeret,113 år,0
242,2020,Gift/separeret,114 år,0
243,2020,Gift/separeret,115 år,0
244,2020,Gift/separeret,116 år,0
245,2020,Gift/separeret,117 år,0
246,2020,Gift/separeret,118 år,0
247,2020,Gift/separeret,119 år,0
248,2020,Gift/separeret,120 år,0
249,2020,Gift/separeret,121 år,0
250,2020,Gift/separeret,122 år,0
251,2020,Gift/separeret,123 år,0
252,2020,Gift/separeret,124 år,0
253,2020,Gift/separeret,125 år,0
